review_id,product_id,customer_id,rating,review_text,review_date,helpful_votes
REV-644D4692,PROD-187B16A7,CUST-F8FAA68C,5,Exceeded my expectations completely.,2024-08-23,19
REV-3E12663A,PROD-790E63A6,CUST-4B532F33,4,"Works as described, happy with it.",2023-04-22,14
REV-2EA6A476,PROD-D535BA9E,CUST-AAED365B,5,"Top quality product, fast delivery.",2024-10-18,25
REV-E303C7AA,PROD-0637C0D8,CUST-A5D35B0D,2,Had some issues out of the box.,2023-10-21,12
REV-82B9C1CE,PROD-E24CB8A4,CUST-A5D35B0D,4,Good value for money.,2022-08-03,14
REV-9D33DD70,PROD-5FE65A3B,CUST-936BA115,4,"Works as described, happy with it.",2022-07-17,9
REV-CC139EA1,PROD-3CD1952C,CUST-899211E8,4,"Very good product, minor packaging issue.",2024-01-26,12
REV-A6DD9745,PROD-D535BA9E,CUST-3FF948FC,4,"Solid product, would recommend.",2022-07-12,12
REV-DC2ACAD4,PROD-6D2426CB,CUST-A9ECD251,3,Decent quality.,2024-10-20,19
REV-30F73D61,PROD-928A2A8B,CUST-5B1F53D3,3,"Average product, nothing special.",2024-08-07,17
REV-C65E10C4,PROD-1001130C,CUST-334365C9,4,"Solid product, would recommend.",2024-11-03,8
REV-690B2F0F,PROD-9A5F63AA,CUST-458DCACD,5,Absolutely love it! Best purchase ever.,2024-05-09,30
REV-F0405758,PROD-E24CB8A4,CUST-0D4F68FD,4,"Very good product, minor packaging issue.",2024-08-14,30
REV-21E6902C,PROD-F9231922,CUST-D9CB0086,4,Good value for money.,2022-08-31,30
REV-6E263C4C,PROD-C0B127A9,CUST-66F6D161,4,Good value for money.,2022-08-20,17
REV-0FBF1571,PROD-D535BA9E,CUST-143B0FBF,4,Good value for money.,2022-07-08,38
REV-09ED65C8,PROD-F9231922,CUST-3BE26B32,5,"Top quality product, fast delivery.",2023-11-04,0
REV-9027762E,PROD-0E06F972,CUST-BF0C6036,3,"Average product, nothing special.",2024-06-16,47
REV-63A0266C,PROD-8159C0A4,CUST-8F3B6F9D,5,Perfect fit and great build quality.,2023-02-22,17
REV-5C156F2C,PROD-3CD1952C,CUST-0AAE5BC2,5,"Top quality product, fast delivery.",2023-02-10,38
REV-970F907C,PROD-A7D1FB77,CUST-A2F542FF,4,"Solid product, would recommend.",2024-09-18,30
REV-531A00DA,PROD-44834CB1,CUST-67469594,1,Broke after one week.,2024-11-30,0
REV-0C39C67D,PROD-9A5F63AA,CUST-7D9BAFCC,5,"Top quality product, fast delivery.",2022-09-29,34
REV-A640320B,PROD-17DF18B5,CUST-388803BB,3,Okay for the price.,2024-02-09,50
REV-F5F0A76E,PROD-85AB6E7B,CUST-868ADE8A,5,Absolutely love it! Best purchase ever.,2024-09-01,34
REV-A0A0873A,PROD-F8706B59,CUST-B2C80B3C,1,Complete waste of money.,2023-07-09,49
REV-573FB2A8,PROD-F2B52A80,CUST-8701EFC9,3,Decent quality.,2024-12-24,34
REV-E8EA31CD,PROD-66419DA1,CUST-E1B5E26D,4,"Very good product, minor packaging issue.",2024-04-06,28
REV-A7463089,PROD-6A13D41F,CUST-71ACE83A,4,"Solid product, would recommend.",2023-04-26,10
REV-CF9F66FD,PROD-8EA520A4,CUST-E2EBEF6A,4,"Solid product, would recommend.",2023-03-17,44
REV-45471BBE,PROD-963421E3,CUST-6D51D533,4,"Works as described, happy with it.",2024-06-09,15
REV-50D8FAA7,PROD-661FE965,CUST-92A4A8EB,3,Okay for the price.,2022-07-27,12
REV-8DC776DF,PROD-0E074139,CUST-D2C85F1F,4,Good value for money.,2024-10-18,1
REV-5948C607,PROD-1013CB12,CUST-5CAAD97D,4,"Very good product, minor packaging issue.",2024-07-20,49
REV-76688428,PROD-99030BD0,CUST-D4F3448A,5,Perfect fit and great build quality.,2022-07-14,38
REV-444AAAEC,PROD-790E63A6,CUST-A18299FC,3,"Average product, nothing special.",2023-12-06,46
REV-FC3D13EF,PROD-44834CB1,CUST-FC3B15A3,5,Exceeded my expectations completely.,2022-08-20,5
REV-AFE4EB80,PROD-8F134EA0,CUST-6CABAEC4,3,Gets the job done but could be better.,2023-06-23,6
REV-0AD69B91,PROD-6ACBDFF5,CUST-5417B9A7,2,Okay but overpriced.,2023-12-27,3
REV-7F246131,PROD-6EA27620,CUST-28FF33A3,3,Okay for the price.,2024-04-04,7
REV-21C461CE,PROD-6EA27620,CUST-6354CD9F,2,Okay but overpriced.,2023-09-09,43
REV-F649EE95,PROD-261E2C48,CUST-D297F7AF,4,"Very good product, minor packaging issue.",2023-04-18,14
REV-ADE3EC6A,PROD-D58C3016,CUST-B6C8F29D,4,"Very good product, minor packaging issue.",2023-10-01,30
REV-87D41F57,PROD-E24F5BD8,CUST-0912696B,5,"Top quality product, fast delivery.",2023-03-31,30
REV-BBBF31EA,PROD-8FD1797E,CUST-66F6D161,5,Exceeded my expectations completely.,2024-12-27,40
REV-8B4CB244,PROD-31695DC7,CUST-334365C9,5,Absolutely love it! Best purchase ever.,2023-03-24,24
REV-C9F581D8,PROD-3CD1952C,CUST-E1AFF3AB,5,"Top quality product, fast delivery.",2024-06-16,15
REV-3DF3A332,PROD-661FE965,CUST-F19BC959,4,"Solid product, would recommend.",2024-09-01,24
REV-E0E75852,PROD-DADF29A3,CUST-9B97F9A4,5,Perfect fit and great build quality.,2022-12-02,15
REV-AAFF57A4,PROD-5FE65A3B,CUST-BB4C8366,3,"Average product, nothing special.",2023-06-08,14
REV-FC75F6DB,PROD-E6123478,CUST-4308FB13,5,Perfect fit and great build quality.,2022-08-15,47
REV-8B486860,PROD-17DF18B5,CUST-212175F7,4,Good value for money.,2023-10-11,35
REV-01BB7C04,PROD-187B16A7,CUST-CAC027CF,5,Perfect fit and great build quality.,2023-11-12,25
REV-B3434970,PROD-0637C0D8,CUST-3E58B997,1,Broke after one week.,2022-07-13,25
REV-A0458A2A,PROD-8BC4BBBB,CUST-28EF754F,4,"Very good product, minor packaging issue.",2023-06-15,2
REV-7AFB6D83,PROD-DF356D3A,CUST-0E393329,2,Disappointed with the quality.,2024-03-24,40
REV-E178211A,PROD-6A13D41F,CUST-25760997,4,"Very good product, minor packaging issue.",2022-06-12,13
REV-235C1089,PROD-F42CBE35,CUST-52C32273,4,"Works as described, happy with it.",2022-07-31,47
REV-766D829D,PROD-1001130C,CUST-D5A81739,3,Decent quality.,2022-10-17,1
